product_code,category_id,description,published,family_id,serie,material,color,vidrio,width_mm,height_mm,has_mosquitero,has_shutter_monoblock,shutter_system,price_base,price_mosquitero,price_mb,price_mb_c_mosq,currency,source,reference_date,specifications
legacy-parametric-ventana-corrediza-20-natural-3mm-500x300-2037,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,500,300,false,false,,35.8,50.69,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 500x300
legacy-parametric-ventana-corrediza-20-natural-3mm-600x400-2038,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,600,400,false,false,,42.16,59.11,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 600x400
legacy-parametric-ventana-corrediza-20-natural-3mm-800x400-2039,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,800,400,false,false,,48.44,67.36,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 800x400
legacy-parametric-ventana-corrediza-20-natural-3mm-1000x400-2040,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1000,400,false,false,,57.47,78.29,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1000x400
legacy-parametric-ventana-corrediza-20-natural-3mm-1200x400-2041,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1200,400,false,false,,63.13,85.69,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1200x400
legacy-parametric-ventana-corrediza-20-natural-3mm-1400x400-2042,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1400,400,false,false,,75.49,99.79,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1400x400
legacy-parametric-ventana-corrediza-20-natural-3mm-1500x400-2043,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1500,400,false,false,,71.62,96.79,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1500x400
legacy-parametric-ventana-corrediza-20-natural-3mm-1000x600-2044,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1000,600,false,false,,66.09,89.92,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1000x600
legacy-parametric-ventana-corrediza-20-natural-3mm-1200x600-2045,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1200,600,false,false,,72.26,97.99,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1200x600
legacy-parametric-ventana-corrediza-20-natural-3mm-1400x600-2046,5,,false,VENTANA_CORREDIZA,20,ALUMINIO,NATURAL,3MM,1400,600,false,false,,85.13,112.75,,,USD,Lista de Precios 2025 - SERIE 20 (4).xlsx (Descuento aplicado: -25%),2024-12-31 03:00:00,Ventana Corrediza S20 NATURAL 3MM 1400x600
